Date,return,equity_curve
2013-01-25,0.0,1.0
2013-01-29,-0.0006315987161163632,0.9993684012838836
2013-01-30,-0.0005544942684655218,0.9988142572332861
2013-01-31,0.0005524520584653803,0.9993660542257192
2013-02-01,-0.0002772821859164831,0.9990889478216728
2013-02-04,-0.0008302183881298553,0.9982594858058139
2013-02-05,0.0016759548461100448,0.9999325236287255
2013-02-06,-0.0014124177597818921,0.9985202011737688
2013-02-07,-0.0016790931179759383,0.9968435927758179
2013-02-08,0.0011069883422293923,0.9979470870120468
2013-02-11,-0.0005576324374627184,0.9973905993454574
2013-02-12,-0.0007313199623448724,0.9966611876899009
2013-02-13,0.0016187501883082249,0.9982745331751535
2013-02-14,0.002107516488510915,1.0003784132138807
2013-02-15,0.0022820396097333715,1.002661316377557
2013-02-18,0.004403816130096529,1.0070768524556444
2013-02-19,-0.003645564707943619,1.003405488624145
2013-02-20,0.004055712768370384,1.007475013076211
2013-02-21,-0.003597783758341917,1.00385033583723
2013-02-22,-0.0008092897762085736,1.0030379300235934
2013-02-25,-0.000441616533038822,1.00259497189043
2013-02-26,0.0042939983118134755,1.0069001130071602
2013-02-27,0.008124699701882997,1.0150808740551354
2013-02-28,-0.00044035062170458316,1.0146338825611647
2013-03-01,-0.015154055224583171,0.9992580646720997
2013-03-04,0.005004370551749775,1.0042587223045432
2013-03-05,0.007939386936725055,1.0122319208855
2013-03-06,0.008358044242594644,1.0206922000640275
2013-03-07,0.004156467998647622,1.024934674530063
2013-03-08,0.006693322612488901,1.031794892963419
2013-03-11,0.003160378541747036,1.035055755402625
2013-03-12,0.00452840050815913,1.0397429024113634
2013-03-13,-0.002737303863994678,1.0368968101470317
2013-03-14,0.0032258627247732986,1.0402416969163213
2013-03-15,-0.0038462224157158275,1.0362406959838795
2013-03-18,-0.0010712801761298518,1.035130591868573
2013-03-19,-0.00744693605584289,1.027422040541481
2013-03-20,0.0010135313053188822,1.0284633649433441
2013-03-21,0.0015306569709446437,1.0300375895622558
2013-03-22,-0.0010310356473121618,1.0289755840893455
2013-03-25,0.0005119896980177063,1.029502408987911
2013-03-26,0.0009359259220843277,1.030465946979331
2013-03-27,-0.006195479874514358,1.024081715943448
2013-03-28,0.002502853798947537,1.02664484275663
2013-04-02,-0.008763423158863241,1.017647919565689
2013-04-03,0.001078012197590039,1.0187449564358328
2013-04-04,-0.004139603890790649,1.0145277558504477
2013-04-05,0.005396641738379058,1.0200027986824143
2013-04-08,-0.009624731926505582,1.0101855451808106
2013-04-09,-0.004564345810170722,1.0055747090201694
2013-04-10,0.014091968576506162,1.019745236221011
2013-04-11,0.00560775749989739,1.0254637202174142
2013-04-12,0.001691710229512522,1.0271985076828998
2013-04-15,0.011406865366161362,1.0389156227643606
2013-04-16,0.027160522954287863,1.0671331143840204
2013-04-17,0.0007537561821872041,1.0679374725662039
2013-04-18,0.01136362821233387,1.0800731169584659
2013-04-19,-0.0024590315215530234,1.077417183118283
2013-04-22,-0.004032161413846191,1.0730728631258986
